epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,momentum,optimizer,_cfg_file,outdir
48,2.687741216125488,,1.6352020708084107,0.5794,0.06417007744312286,0.1,809.0672730761843,2.777620792388916,61.79955816268921,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
49,2.690465556526184,,1.560244435119629,0.584,0.0450618639588356,0.1,807.2744933984476,2.777696132659912,61.93680143356323,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
50,2.5959147547149657,,1.488842723274231,0.6063,0.06733028590679169,0.1,808.5896736679159,2.777771472930908,61.836060523986816,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
51,2.657427918510437,,1.5218500991821289,0.6031,0.0846979171037674,0.1,809.5146036329965,2.7778468132019043,61.7654082775116,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
52,2.6140781675338745,,1.556593377685547,0.5848,0.022097360342741013,0.1,804.1412704864729,2.7779221534729004,62.17812943458557,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
53,2.5988414710235594,,1.4773944278717042,0.6115,0.053429897874593735,0.1,806.9210943159364,2.7779974937438965,61.96492385864258,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
54,2.549097828826904,,1.4568643539428712,0.6204,0.08402096480131149,0.1,809.4301465132203,2.7780728340148926,61.77185297012329,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
55,2.611444032745361,,1.3420077058792115,0.6447,0.06260094046592712,0.1,806.9864026489862,2.7781481742858887,61.95891261100769,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
56,2.562810860748291,,1.377966937828064,0.6268,0.024043582379817963,0.1,809.2231010314937,2.7782235145568848,61.787657737731934,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
57,2.601722224731445,,1.4352729598999023,0.6263,0.05092654749751091,0.1,806.7836935019687,2.778298854827881,61.97448015213013,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
58,2.4747898780822752,,1.239989197921753,0.6585,0.026857443153858185,0.1,806.4165494060358,2.778374195098877,62.0026957988739,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
59,2.5457389527893066,,1.4249457679748536,0.6394,0.11182288825511932,0.1,809.7493051516622,2.778449535369873,61.74750590324402,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
60,2.426372038726807,,1.328095498275757,0.6507,0.0711270272731781,0.1,805.9339865775332,2.778524875640869,62.03982067108154,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
61,2.440176962738037,,1.2795176733016969,0.6573,0.04526306316256523,0.1,807.3641021835438,2.7786002159118652,61.929927110672,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
62,2.4965260586547853,,1.3172005651474,0.6616,0.10185792297124863,0.1,806.87513051856,2.7786755561828613,61.96745705604553,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
63,2.441621993255615,,1.338008256149292,0.6647,0.11690019071102142,0.1,806.6195983947872,2.7787508964538574,61.9870879650116,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
64,2.464025321273804,,1.279628227996826,0.665,0.07651267945766449,0.1,806.8504044412907,2.7788262367248535,61.969356060028076,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
