epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,outdir
47,0.2073192188167572,0.93358,1.7511364543914796,0.6507,0.18857857584953308,0.1,721.7482638067215,2.7787652015686035,69.27723050117493,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
48,0.19413966256141663,0.93748,1.741924270439148,0.6601,0.19226256012916565,0.1,714.0218386460017,2.7788405418395996,70.02586936950684,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
49,0.19304601663589477,0.93884,1.6778099996566773,0.6622,0.18753433227539062,0.1,715.9900924941965,2.7789158821105957,69.83336853981018,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
50,0.1740751109266281,0.94392,1.6136244508743287,0.6689,0.18001088500022888,0.1,716.4974243272043,2.778991222381592,69.78392148017883,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
51,0.14650342645645142,0.95326,1.641201079273224,0.6681,0.1905897706747055,0.1,715.6589080792795,2.779066562652588,69.86568522453308,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
52,0.12906065051078797,0.96018,1.731698366355896,0.6665,0.19527983665466309,0.1,721.2711779937259,2.779141902923584,69.3220546245575,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
53,0.12586164457321167,0.96102,1.6935332733154296,0.6719,0.19003060460090637,0.1,716.7942806956344,2.77921724319458,69.7550208568573,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
54,0.10441293822288514,0.9676,1.7531969202041626,0.6719,0.18998107314109802,0.1,715.2177563754117,2.779292583465576,69.90877890586853,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
55,0.10161627000570297,0.9683,1.7532197045326232,0.6741,0.19015806913375854,0.1,720.82628078109,2.7793679237365723,69.36484050750732,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
56,0.08032214925765992,0.97614,1.6397408347129823,0.6871,0.18187108635902405,0.1,715.5492454244155,2.7794432640075684,69.87639260292053,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
57,0.07754446331501007,0.97674,1.6383483659744262,0.6849,0.18781356513500214,0.1,714.6461441076859,2.7795186042785645,69.96469569206238,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
58,0.06746048788785934,0.9808,1.6035227689743041,0.6918,0.18265926837921143,0.1,719.8598027559591,2.7795939445495605,69.45797348022461,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
59,0.05779440929174423,0.98364,1.6408035087585449,0.6952,0.18435260653495789,0.1,717.1564551222939,2.7796692848205566,69.71979355812073,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
60,0.04760863782763481,0.98712,1.5912695655822753,0.6966,0.17939826846122742,0.1,716.8386546844085,2.7797446250915527,69.75070285797119,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
61,0.038274270138144495,0.98974,1.614040966320038,0.7009,0.1831379234790802,0.1,719.5920180842568,2.779819965362549,69.48381686210632,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
62,0.03130679674386978,0.99192,1.5560788887023926,0.7083,0.17487378418445587,0.1,716.2758130619286,2.779895305633545,69.80551218986511,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
63,0.02503205007851124,0.99418,1.5752177721977234,0.7067,0.17705067992210388,0.1,715.2647090986942,2.779970645904541,69.90418982505798,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
64,0.022286076760292053,0.99506,1.5822631172180175,0.7075,0.1793784201145172,0.1,719.0698591740149,2.780045986175537,69.53427314758301,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
65,0.017621160864830017,0.99648,1.5441956310272216,0.7123,0.17652857303619385,0.1,715.7686532114438,2.780121326446533,69.85497307777405,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
66,0.013841718052625657,0.9974,1.5226323293685913,0.716,0.17405474185943604,0.1,715.4536678118714,2.7801966667175293,69.8857274055481,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
67,0.01171943138897419,0.99786,1.4928085418701171,0.7175,0.17208252847194672,0.1,718.5094029841291,2.7802720069885254,69.58851170539856,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
68,0.009040777395069598,0.9986,1.4894112594604492,0.7221,0.17030689120292664,0.1,717.4594836426629,2.7803473472595215,69.69134593009949,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
69,0.008811496462523938,0.99868,1.472042080307007,0.7241,0.1674954891204834,0.1,720.5002917831863,2.7804226875305176,69.39622449874878,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
70,0.007170144217088819,0.99902,1.448419014263153,0.7267,0.1677803099155426,0.1,715.4506021736755,2.7804980278015137,69.88602685928345,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
71,0.006198165836408734,0.99916,1.4545185053825378,0.7236,0.16844885051250458,0.1,714.7471477742605,2.7805733680725098,69.95577454566956,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
72,0.006169015209376812,0.9991,1.4455515531539918,0.726,0.16643375158309937,0.1,719.8019424361088,2.780648708343506,69.46355247497559,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
73,0.005596050007417798,0.99912,1.4555712421417237,0.7259,0.16729432344436646,0.1,717.4643436059038,2.780724048614502,69.68987441062927,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
74,0.004817566938400269,0.99928,1.4251081645965575,0.7295,0.1626468002796173,0.1,714.3957589782835,2.780799388885498,69.98921728134155,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
75,0.004446612181812525,0.99938,1.4342603231430053,0.7295,0.16393589973449707,0.1,719.8275334484622,2.780874729156494,69.46108293533325,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
76,0.004013102474063635,0.99944,1.4188087923049926,0.7318,0.16067971289157867,0.1,719.0012497098232,2.7809500694274902,69.5409083366394,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
77,0.004163732161521912,0.99926,1.410868528366089,0.7288,0.16174210608005524,0.1,715.0393737028214,2.7810254096984863,69.92621922492981,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
78,0.0035011339472234247,0.99956,1.400697598361969,0.7317,0.16007612645626068,0.1,718.8500198562355,2.7811007499694824,69.55553817749023,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
79,0.003469144055992365,0.99956,1.4023299528121949,0.7331,0.1581827700138092,0.1,715.4906308345725,2.7811760902404785,69.88211703300476,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
80,0.0036756446553021667,0.99946,1.3988401209831238,0.7318,0.15970835089683533,0.1,714.7661075634254,2.7812514305114746,69.95295310020447,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
81,0.0034401512886583804,0.99962,1.394065533351898,0.7335,0.1578584760427475,0.1,719.1721764311013,2.7813267707824707,69.52438044548035,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
82,0.0031426633071154355,0.99964,1.393883493041992,0.7335,0.1583152860403061,0.1,715.5101866799661,2.781402111053467,69.88020706176758,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
83,0.0032769749592244627,0.99956,1.389906788921356,0.733,0.1581883579492569,0.1,714.1813508555647,2.781477451324463,70.01022911071777,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
84,0.0033145661756396293,0.99954,1.3884533170700073,0.7333,0.15759828686714172,0.1,717.8868891629296,2.781552791595459,69.64885520935059,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
85,0.0029812298776209353,0.99954,1.3920702078819276,0.7335,0.15855242311954498,0.1,714.1153391726414,2.781628131866455,70.01769590377808,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
86,0.002974181716442108,0.99966,1.3852676033973694,0.734,0.15657371282577515,0.1,716.0799305811338,2.781703472137451,69.82460737228394,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
87,0.002902245156690478,0.99964,1.384944699192047,0.7349,0.1564541757106781,0.1,718.3065547028136,2.7817788124084473,69.608163356781,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
88,0.002753865933343768,0.99962,1.3803470584869384,0.7336,0.1574925184249878,0.1,717.600346183367,2.7818541526794434,69.6766664981842,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
89,0.0027482408595457673,0.99964,1.3779188515663148,0.7348,0.15569807589054108,0.1,721.6702863648559,2.7819294929504395,69.28371715545654,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
90,0.0027393244003504516,0.99964,1.3793693009376526,0.7345,0.1570853739976883,0.1,716.754772353891,2.7820048332214355,69.75886583328247,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
91,0.002750651590898633,0.99964,1.3788932662963866,0.736,0.15549156069755554,0.1,715.4452568960307,2.7820801734924316,69.88654899597168,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
92,0.002745388686731458,0.99962,1.3722736010551453,0.7352,0.15578538179397583,0.1,718.6654569105888,2.7821555137634277,69.57340097427368,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
93,0.002796593549400568,0.99964,1.3737834246635436,0.736,0.15494973957538605,0.1,717.5766172656506,2.782230854034424,69.67897057533264,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
94,0.0026352544425427915,0.9997,1.377859473323822,0.7354,0.15584485232830048,0.1,714.8937194907256,2.78230619430542,69.9404661655426,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
95,0.002668637785874307,0.99962,1.3719255868911744,0.7359,0.15532897412776947,0.1,719.1727806611152,2.782381534576416,69.52432203292847,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
96,0.002588058936521411,0.99966,1.3729946834564208,0.736,0.15543696284294128,0.1,717.6262425484732,2.782456874847412,69.674152135849,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
97,0.0027145224952697753,0.99962,1.3734220806121826,0.7338,0.1575547605752945,0.1,716.2264526412919,2.782532215118408,69.81032299995422,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
98,0.0027965671753138305,0.99966,1.374134403038025,0.735,0.1564493477344513,0.1,721.5974206547764,2.7826075553894043,69.2907133102417,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
99,0.002776550912819803,0.9996,1.3739562016487121,0.7353,0.15588274598121643,0.1,717.0246069077848,2.7826828956604004,69.73261380195618,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
100,0.0027648662161454556,0.99964,1.3682166487693788,0.7357,0.1555970013141632,0.1,717.6089085239648,2.7827582359313965,69.67583513259888,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
