epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,power_W,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,optimizer,momentum,outdir
33,1.5389519900131226,0.5681,2.0715322874069213,0.4641,0.09603820741176605,0.1,784.0836498665584,2.777710437774658,131920.82099999994,63.76870632171631,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
34,1.5133476571273803,0.57268,2.1847635932922365,0.4314,0.09076374769210815,0.1,784.1494947102368,2.7777857780456543,131921.66499999998,63.76431131362915,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
35,1.4979060829925537,0.57654,2.0528314018249514,0.4602,0.10168547928333282,0.1,781.1044759454336,2.7778611183166504,132045.4889999999,64.01292371749878,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
36,1.477987821159363,0.58514,2.0566661169052125,0.4587,0.11196821182966232,0.1,783.7816951032727,2.7779364585876465,132048.87199999992,63.79327344894409,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
37,1.458819230079651,0.58758,1.793468339920044,0.51,0.06759366393089294,0.1,784.5645373179319,2.7780117988586426,132027.55100000006,63.72962021827698,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
38,1.4413275445556641,0.59334,1.9291511878967285,0.4851,0.064603291451931,0.1,788.790689246426,2.7780871391296387,131986.56700000004,63.3881721496582,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
39,1.4313572273635864,0.59558,2.1358730989456176,0.4506,0.10315074026584625,0.1,786.4160357544741,2.7781624794006348,131961.65100000007,63.5795783996582,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
40,1.4014405652999877,0.602,1.8640030118942261,0.493,0.07635568082332611,0.1,781.3387156378997,2.778237819671631,132027.69900000002,63.99273324012756,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
41,1.3837465361785888,0.60566,1.9391492189407349,0.4887,0.09137646108865738,0.1,783.7916987091961,2.778313159942627,130440.92399999996,63.79245924949646,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
42,1.3703552284622191,0.60848,1.7621927845001222,0.5281,0.0640907809138298,0.1,784.2971793515496,2.778388500213623,131617.827,63.75134491920471,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
43,1.3396639311981202,0.61922,2.092865979003906,0.4764,0.1441708654165268,0.1,786.182962788335,2.778463840484619,131969.5190000001,63.598427295684814,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
44,1.3259478664016724,0.62316,1.8698633321762086,0.5128,0.1156490221619606,0.1,784.217635052336,2.7785391807556152,132026.73099999994,63.757811307907104,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
45,1.3078086765670776,0.6252,1.6377036268234253,0.547,0.056583523750305176,0.1,786.6631481828174,2.7786145210266113,131955.3920000001,63.559606313705444,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
46,1.287506272506714,0.63032,1.8116237365722656,0.5172,0.09193088114261627,0.1,786.6141050984008,2.7786898612976074,132111.92899999997,63.56356906890869,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
47,1.2723626049804688,0.6353,1.7096303472518921,0.5334,0.07306619733572006,0.1,785.5335067749509,2.7787652015686035,132178.92900000003,63.65100860595703,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
48,1.2467019885635375,0.64118,1.7348142793655394,0.5378,0.08913006633520126,0.1,773.7929301173795,2.7788405418395996,131686.57299999995,64.61677026748657,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
