epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,momentum,optimizer,outdir,_cfg_file
39,2.779863113937378,,1.6107075170516967,0.5823,0.0961092859506607,0.1,812.667691385597,2.776942729949951,61.525763273239136,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
40,2.7821630656433105,,1.823656834411621,0.534,0.0998276025056839,0.1,811.3234846265362,2.7770180702209473,61.62769961357117,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
41,2.7200831790161133,,1.7408085792541503,0.5429,0.04653063043951988,0.1,812.657759025409,2.7770934104919434,61.52651524543762,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
42,2.754403757019043,,1.7786532354354858,0.5468,0.0920664593577385,0.1,811.9176505250682,2.7771687507629395,61.582600116729736,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
43,2.772120836715698,,1.6069859546661378,0.5882,0.09118300676345825,0.1,811.9710817228997,2.7772440910339355,61.57854771614075,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
44,2.6893426512145995,,1.5660539590835572,0.5859,0.05520632490515709,0.1,806.570911165038,2.7773194313049316,61.99182987213135,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
45,2.681383575286865,,1.687067195701599,0.5799,0.10500257462263107,0.1,814.9050144722197,2.7773947715759277,61.35684418678284,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
46,2.651510545043945,,1.5841384958267213,0.5803,0.05494200065732002,0.1,814.4533910884053,2.777470111846924,61.39086723327637,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
47,2.6997242138671873,,1.5054095935821534,0.5999,0.07706105709075928,0.1,811.3968378144838,2.77754545211792,61.62212824821472,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
48,2.741756307067871,,1.5858023771286012,0.5953,0.10373270511627197,0.1,810.0976353778028,2.777620792388916,61.72095537185669,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
49,2.6246091024398805,,1.435379214477539,0.6266,0.07991236448287964,0.1,814.4287170814112,2.777696132659912,61.39272713661194,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
50,2.617842416229248,,1.6060566694259644,0.5817,0.0758284479379654,0.1,814.4220087680757,2.777771472930908,61.39323282241821,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
51,2.6166072053527833,,1.424468574142456,0.6182,0.07155849039554596,0.1,812.1696312491981,2.7778468132019043,61.563493728637695,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
52,2.5654577056884764,,1.505387784385681,0.6002,0.046702876687049866,0.1,814.3996833104137,2.7779221534729004,61.39491581916809,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
53,2.6207593525695803,,1.4806523260116577,0.6121,0.08081480860710144,0.1,814.9395818169202,2.7779974937438965,61.354241609573364,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
